 Year,Geographical Area,Actual Forest Cover,Very Dense Forest,Moderately Dense Cover,Open Forest,  Mangrove,  Scrub,Non-Forest
2001,3287263,653898,395169,0,258729,4482,47318,2586047
2003,3287264,677816,54518,334056,289242,4448,40269,2569178
2005,3287265,690171,83472,319948,286751,4581,38475,2558617
2009,3287266,692394,83428,320238,288728,4639,41525,2553344
2011,3287267,692027,83471,320736,287820,4663,42176,2553060
2013,3287268,697898,83502,318745,295651,4628,41383,2547982
2015,3287269,701673,85904,315374,300395,4740,41362,2544228
